item_price_id|item_id|price|name|description|creator|date_created|changed_by|date_changed|retired|retired_by|date_retired|retire_reason|uuid
777|689|20.00|OPD|""|1|2013-01-11 10:55:37|||0||||476308fc-5bc4-11e2-a081-b4b52f5b1c99
779|691|90.00|OPD|""|1|2013-01-11 10:55:37|||0||||47630d9b-5bc4-11e2-a081-b4b52f5b1c99
780|692|30.00|OPD|""|1|2013-01-11 10:55:37|||0||||4763100a-5bc4-11e2-a081-b4b52f5b1c99
781|693|635.00|OPD|""|1|2013-01-11 10:55:37|||0||||4763125b-5bc4-11e2-a081-b4b52f5b1c99
782|694|880.00|OPD|""|1|2013-01-11 10:55:37|||0||||4763149b-5bc4-11e2-a081-b4b52f5b1c99
783|695|515.00|OPD|""|1|2013-01-11 10:55:37|||0||||476316e4-5bc4-11e2-a081-b4b52f5b1c99
784|696|140.00|OPD|""|1|2013-01-11 10:55:37|||0||||47631946-5bc4-11e2-a081-b4b52f5b1c99
786|698|955.00|OPD||8|2014-04-04 11:02:47|8|2014-04-04 11:02:47|0||||47631dcf-5bc4-11e2-a081-b4b52f5b1c99
789|701|250.00|OPD|""|1|2013-01-11 10:55:37|||0||||476327b2-5bc4-11e2-a081-b4b52f5b1c99
793|705|430.00|OPD|""|1|2013-01-11 10:55:37|||0||||476333e2-5bc4-11e2-a081-b4b52f5b1c99
794|706|430.00|OPD|""|1|2013-01-11 10:55:37|||0||||47633626-5bc4-11e2-a081-b4b52f5b1c99
796|708|430.00|OPD|""|1|2013-01-11 10:55:37|||0||||47633acd-5bc4-11e2-a081-b4b52f5b1c99
803|715|250.00|OPD|""|1|2013-01-11 10:55:37|||0||||47634cd6-5bc4-11e2-a081-b4b52f5b1c99
806|718|275.00|OPD|""|1|2013-01-11 10:55:37|||0||||476353ce-5bc4-11e2-a081-b4b52f5b1c99
807|719|1665.00|OPD|""|1|2013-01-11 10:55:37|||0||||4763561b-5bc4-11e2-a081-b4b52f5b1c99
812|724|150.00|OPD|""|1|2013-01-11 10:55:37|||0||||476365f6-5bc4-11e2-a081-b4b52f5b1c99
813|725|250.00|OPD|""|1|2013-01-11 10:55:37|||0||||47636843-5bc4-11e2-a081-b4b52f5b1c99
815|727|110.00|OPD||11|2014-12-13 14:33:51|11|2014-12-13 14:33:51|0||||47636ce6-5bc4-11e2-a081-b4b52f5b1c99
816|728|130.00|OPD||11|2014-12-13 13:17:19|11|2014-12-13 13:17:19|0||||476371bf-5bc4-11e2-a081-b4b52f5b1c99
817|729|190.00|OPD||11|2014-12-13 13:08:17|11|2014-12-13 13:08:17|0||||47637419-5bc4-11e2-a081-b4b52f5b1c99
820|732|160.00|OPD||11|2014-12-18 13:27:21|11|2014-12-18 13:27:21|0||||47637b2f-5bc4-11e2-a081-b4b52f5b1c99
821|733|200.00|OPD|""|1|2013-01-11 10:55:37|||0||||47637d80-5bc4-11e2-a081-b4b52f5b1c99
822|734|100.00|OPD||11|2015-03-13 11:16:39|11|2015-03-13 11:16:39|0||||47637fd6-5bc4-11e2-a081-b4b52f5b1c99
824|736|190.00|OPD|""|1|2013-01-11 10:55:37|||0||||47638496-5bc4-11e2-a081-b4b52f5b1c99
826|738|70.00|OPD||3|2014-12-15 10:06:49|3|2014-12-15 10:06:49|0||||47638939-5bc4-11e2-a081-b4b52f5b1c99
827|739|60.00|OPD|""|1|2013-01-11 10:55:37|||0||||47638b81-5bc4-11e2-a081-b4b52f5b1c99
828|740|110.00|OPD||11|2014-12-13 14:27:29|11|2014-12-13 14:27:29|0||||47638dec-5bc4-11e2-a081-b4b52f5b1c99
829|741|190.00|OPD|""|1|2013-01-11 10:55:37|||0||||4763903d-5bc4-11e2-a081-b4b52f5b1c99
831|743|230.00|OPD|""|1|2013-01-11 10:55:37|||0||||47639c31-5bc4-11e2-a081-b4b52f5b1c99
832|744|560.00|OPD|""|1|2013-01-11 10:55:37|||0||||47639ebe-5bc4-11e2-a081-b4b52f5b1c99
834|746|70.00|OPD|""|1|2013-01-11 10:55:37|||0||||4763a35c-5bc4-11e2-a081-b4b52f5b1c99
835|747|480.00|OPD|""|1|2013-01-11 10:55:37|||0||||4763a5b2-5bc4-11e2-a081-b4b52f5b1c99
837|749|370.00|OPD||3|2013-01-22 13:43:13|3|2013-01-22 13:43:13|0||||4763aa7b-5bc4-11e2-a081-b4b52f5b1c99
838|750|120.00|OPD|""|1|2013-01-11 10:55:37|||0||||4763accc-5bc4-11e2-a081-b4b52f5b1c99
