item_stock_id|stockroom_id|item_id|quantity|uuid
4|343|1590|10|f17f6288-5e7c-4e45-8aee-dd12585af3b6
5|343|1497|63|d23f81cc-9234-4cbf-aa6a-34624c4839ab
7|343|1513|14|a652d25c-7ac0-46fc-bb15-64015f467064
8|343|1592|9|2d25d615-2619-458f-98c1-49514e5b0085
9|343|1469|39|985e6945-372a-4c2a-a4bf-e1deb814894e
10|343|1587|4|0954290b-6ec1-40d2-bbc8-19c25d44f178
11|343|1520|23|9a7eeab6-bf5d-4057-a411-427b8e0958b3
12|343|1556|11|feb0b738-ca42-41db-8442-e750cff758ab
13|343|1539|424|3d363e20-91de-43d6-852b-be367e753f33
14|343|1589|9|51fe596d-e280-4171-88e5-fc76b7682a5c
15|343|1496|15|21ef62ad-6de8-46bc-b790-1e0646825536
16|343|1522|18|817c00ff-89de-47a4-a8b0-601fa4ede265
17|343|727|65|08cf1374-421f-4936-a227-6bfc9ee13fde
18|343|1562|8|4c367ff3-1249-42e4-afd9-61f2ed27d5e2
20|343|729|15|f96f4c6e-7bbf-469c-ba2b-5fa5f3ce9de0
21|343|1471|17|e8d5d409-803d-455e-b487-d5622f2bb477
22|343|1581|200|ac713ed9-1a39-4d99-a525-349136df3ca5
23|343|1561|22|93b2a626-57cf-429b-899d-c574a2bdd9df
24|343|1571|9|2fa61f5f-e6f6-4544-8737-903158bd1df4
25|343|1514|200|774dcfa8-636c-4072-9778-f9fc6b5e499d
26|343|1585|176|25e4ae60-73c6-4f4c-808d-a11cfe550843
27|343|1500|300|c53a5a33-b1b0-4a2d-bc69-9e8d9135b8b4
29|343|1538|184|3d8270bc-d98e-430a-86ba-cb48185f0b00
30|343|1545|165|a440a619-b9d6-4632-8a87-a00c66796c27
31|343|1591|700|084a0e1c-4033-47e2-9ac1-6e667b4ff92c
32|343|1532|7|08bfff48-374e-422f-a80b-d3d942585cc7
33|343|1579|2|916501cc-6e2f-4109-97e2-de625d451b4a
34|343|1531|800|4aef0949-51e2-497b-ad3d-e0a60e125fe9
35|343|1498|17|5cfe3cb5-5a18-4d56-b034-97d4c6c7eb2a
36|343|1588|33|bb8624a5-c31c-44c4-8784-f4fddf2af084
37|343|1548|93|b3ffc596-558e-4906-9fad-9eddfc62b5ec
38|343|1499|8|c6e95d07-e820-425b-93dd-24ec06bd9ba6
39|343|728|18|ccd009f8-4f6f-4de5-82e6-f91717132d44
40|343|1407|400|9a9279e6-8fc5-41aa-83cf-ad065084adf5
41|343|1577|4|0712ac78-2ae2-44c5-b07c-b3fdd194511b
42|343|1542|105|5cbd0d95-14b8-43f2-b561-1cebbb222034
43|343|1502|700|18e324e3-75fc-46e9-bfc4-c25ad3accb3f
44|343|1475|256|058513a5-4a2d-4fc7-b0b4-8a7dbb4b7082
45|343|1563|1800|4980d12e-1e6d-483e-bd3e-c4f438058366
46|343|1508|4|c7b0f721-753a-4a50-83ce-db79b5913831
50|343|1470|9|f9d29334-dccf-4320-8915-859db3279073
51|343|1543|0|e468153f-846d-4955-a221-65aa55fa93d8
52|343|1552|500|30147196-d83a-49df-ae29-55554b02fb76
54|343|1534|20|08fffef7-80b8-498b-8e81-ceadc1d5f746
55|343|1405|37|ef897dd5-1ef8-4d26-b408-c746c5b06246
56|343|740|19|d9b02e39-6906-410b-9acf-1d1400920c38
57|343|1537|230|001476cc-45ae-4340-b572-4b216a25eaaa
59|343|1495|5|81716d32-dd6a-462f-ac7f-53803b6f728a
60|343|738|204|ef59fa94-f6b0-4b72-8f4e-87511cb63f77
112|342|900|858|e7224424-11e0-45f7-8144-de2a5b13ee10
169|342|935|1457|75d960ff-0001-4088-b3e0-871f923fd92d
279|342|813|597|eb99eb3c-39ca-4abb-bfac-3793d07a9297
328|342|955|3578|6e541549-b919-4869-880a-464a3463ea70
329|342|1039|2487|55e48671-8030-4dda-988e-3134037a3e5e
401|342|1055|814|1005abc0-337e-49a8-b15e-023df0d18c2d
475|342|1157|1293|c700ecf0-a54c-4cd3-89b7-bf4caddafcf6
618|342|780|2023|d9dff172-d13a-412b-a19f-d0b462a3e63c
876|342|853|281|5e5e6015-fa12-407f-9607-1ea6a4cff464
1338|342|878|42|86c71cc1-e4c6-411a-bd4f-78055af62a5e
1635|342|1349|327|ba82b61e-026f-4c53-987d-597e3fcd37f2
1641|342|1158|4863|859bd8e8-5ef3-4a7f-8bf2-edfe48fe8ae7
1677|342|785|4820|ad60fff3-7584-4d51-a138-f98f65d91f9e
1695|342|1121|4402|619bd7c3-3c6b-4cec-9f53-e42238cb55ce
1714|342|866|323|9f1a361b-1e58-4063-bff2-caed04775b1e
1733|342|1013|3457|034c0546-2204-4e9e-949e-78d5917e9336
1928|342|1232|2920|61384182-13e8-4e4a-a77f-8417271d2fe4
2020|342|883|529|9541dfb6-b031-4692-9fa0-91717362b7d0
2257|342|1130|197|404938bc-444c-410d-9c75-369915adaee3
2361|342|805|1668|9f8058b0-bcf1-454b-89e1-565cdca7a357
2729|342|1169|3555|ca8a03f2-9a73-4841-b21c-b8ce13e17a4e
2936|342|1194|4754|156e54c6-9e87-46f4-a03c-60bf39cbc17f
3479|342|1353|1796|c2601b2b-1f47-4133-b0e3-513443cc8477
3690|342|1248|1523|4d78725b-80bd-432e-8910-8ca16203bed7
3971|342|1151|410|264a8c66-7447-46ac-a3d7-6f59e62d2556
4003|342|1005|396|dc8d060a-cc39-4504-a3b2-1d9bd4a7043a
4272|345|1502|637|7e627e2f-808d-4cbf-a06e-d926c97dd682
4282|345|1539|176|4ac0195c-f86b-4dae-a369-6b83c9208baa
5217|343|1601|21|c8f04d58-421e-46ed-8b8e-5e2d3d97ab04
5400|343|1558|4|8a54003c-0669-4eb9-baa8-a8ecb260c5fa
5574|343|1518|12|0db7096e-9be3-4733-9877-16a7825f73ec
5764|343|1546|10|b62e20b1-5bdb-49b1-81ff-dcc88414ad00
5947|343|1511|9|a3d9b4ef-a48e-4a74-bb82-2abbaa4b9082
5948|343|1510|11|15c3e0f6-5ec5-49c5-a6ab-9345f007f7ab
6130|343|1602|8|dfd95798-0d67-4470-9d12-9f7aae6edffb
